"Designator,Mid X,Mid Y,Rotation,Layer"
"C1,164.55,-84.07,-90,Top"
"C2,160.589411,-69.889411,135,Top"
"C3,164.339411,-70.160589,45,Top"
"C4,163.6,-84.07,-90,Top"
"C5,162.746518,-68.667696,45,Top"
"C6,155.52,-79.25,180,Top"
"C7,166.23,-79.25,0,Top"
"C8,166.660589,-72.589411,45,Top"
"C9,164.75,-72.73,90,Top"
"C10,166.25,-75.25,0,Top"
"C11,162.039411,-67.960589,45,Top"
"C12,155.52,-75.5,180,Top"
"C13,156.705,-54.65,180,Top"
"C14,157.155,-59.45,180,Top"
"C15,163.7,-85.93,90,Top"
"C16,158.25,-86.03,-90,Top"
"C17,158.43,-68.25,180,Top"
"J1,160.43,-49.02,180,Top"
"J2,151.76,-47.62,0,Top"
"J3,169.54,-47.62,0,Top"
"J4,158.11,-96.64,90,Top"
"R1,159.55,-56.43,-90,Top"
"R2,161.7,-56.85,-90,Top"
"R3,162.5,-73.02,-90,Top"
"R4,161.5,-73.02,-90,Top"
"R5,161.92,-83.25,180,Top"
"R6,158.93,-67.3,180,Top"
"R7,164.07,-61.75,0,Top"
"SW1,164.05,-58.25,-90,Top"
"U1,160.99,-78.32,0,Top"
"U2,157,-57,90,Top"
"W25Q16JVZPIQ_TR1,157.5,-70,0,Top"
"Y1,161,-85.48,0,Top"
